"CycID","filter_type","ar_method","period_number","period","amplitude","phase","mean","R_square","R2_adjust","coef_var","pvalue","fdr_BH"
"AT5G59080.2","1","mle","1","24.7950310559006","0.798266067464925","10.2725349078799","3.47495831299708e-16","0.3305651768952","0.181801882871912","2877732363751783","0.164318836118024","0.196221747800311"
"AT5G59130.3","1","mle","1","22.0552486187845","1.10900540845531","16.3775894001949","-1.94289029309402e-16","0.580354418239345","0.487099844514756","-5146971002709137","0.0200896304298861","0.030233795717231"
"AT5G59140.1","0","mle","1","21.9340659340659","1.20530778401405","12.2664355845586","7.53520509877426e-18","0.828701659519291","0.790635361634689","132710389019493184","0.000356360205045592","0.00179878608508924"
"AT5G59160.1","0","yule-walker","1","23.0751445086705","1.32447490203749","12.5442516003813","1.29498914485289e-16","0.898153331238899","0.875520738180876","7722072451144722","3.43368719000203e-05","0.000544679817080706"
"AT5G59180.1","1","default","1","24","1.17015907323456","18.9310645895523","1.68641323417447e-15","0.70778411380996","0.642847250212173","592974473714633","0.00394155146122899","0.00816262555473711"
"AT5G59210.1","0","burg","1","20.9005235602094","0.597581483421307","14.1091394728271","1.29812175503616e-16","0.217461830143657","0.04356445906447","7703437648436505","0.33172246689519","0.369204870758034"
"AT5G59210.2","0","mle","1","22.6818181818182","0.329041216007607","17.1599167017951","-1.50433051432364e-17","0.0517997788126928","-0.158911381451153","-66474753418773160","0.787136833393923","0.804458713333392"
"AT5G59250.1","1","yule-walker","1","23.7619047619048","1.21986322734727","12.8435723672129","-5.71001850403069e-16","0.847008213924769","0.813010039241385","-1751307809762967","0.000214292275443562","0.0013559416378747"
"AT5G59290.1","0","burg","1","21.695652173913","1.11824038236006","17.6971799882453","3.05311331771918e-16","0.58222781751078","0.489389554735398","3275345183542179","0.0196891893365028","0.02969685476553"
"AT5G59290.2","0","mle","1","27.3424657534247","0.721654989747382","9.1926952341108","6.22625685095061e-18","0.234984534069038","0.0649810971954912","160610142488310944","0.299582174115738","0.337131983405449"
"AT5G59300.1","0","mle","1","25.9220779220779","1.22614679463209","11.230283945111","9.99200722162641e-16","0.719213459411144","0.656816450391399","1000799917193444","0.0032937701383009","0.00715155048428682"
"AT5G59310.1","0","default","1","24","0.230058431394787","7.59516343735449","9.33407720328979e-17","0.0395369420428886","-0.173899293058692","10713431849991028","0.833994130438433","0.847255391758767"
"AT5G59320.1","0","burg","1","27.5310344827586","0.44664695177095","6.09442974822284","1.02925796864028e-16","0.0978321269366549","-0.102649622632977","9715737263818056","0.62920636686382","0.658176610258997"
"AT5G59350.1","0","burg","1","23.3450292397661","1.11044260772179","15.7568586644768","-4.92661467177413e-16","0.685717544120948","0.615876998370048","-2029791381350083","0.00546941178092453","0.0104449004410184"
"AT5G59410.1","0","burg","1","23.7619047619048","1.17216365121381","13.438939277103","-5.3891398360655e-16","0.738891206925482","0.6808670306867","-1855583693167033","0.00237518115021551","0.00569255851214345"
"AT5G59420.1","1","mle","1","23.6213017751479","1.22229532652639","11.8437680813644","-7.19350071407924e-16","0.843985765289626","0.809315935353988","-1390143741895769","0.000234012476679646","0.00141857337349733"
"AT5G59430.2","0","yule-walker","1","22.8114285714286","1.12616029660523","0.326386879205268","-4.39183195019566e-16","0.701094290744727","0.634670799799111","-2276954153392527","0.0043641929828302","0.00879531677473831"
"AT5G59480.1","0","mle","1","22.8114285714286","1.26046964590233","20.5631405825174","1.43394772329312e-16","0.86227369955505","0.831667855011728","6973754926737907","0.000133529114198172","0.00105688234065843"
"AT5G59480.2","0","mle","1","27.3424657534247","0.840830700564869","20.2231786096773","-1.84969408135079e-17","0.318382473338594","0.166911911858282","-54062993988158416","0.178210533686505","0.211301816010535"
"AT5G59480.3","0","default","1","24","0.687420222595454","0.198150523505098","4.30211422042248e-16","0.2500984193855","0.0834536236933883","2324438517352514","0.273854076741502","0.310902075735198"
"AT5G59500.1","1","burg","1","23.0751445086705","1.22984700661946","12.6763932650518","-1.99840144432528e-15","0.772728607938816","0.722223854147442","-500399958596722","0.00127189562731922","0.00375784390248326"
"AT5G59540.1","1","burg","1","23.2093023255814","1.26089007603303","12.8802526598489","-2.89084439257052e-16","0.806157429166269","0.763081302314329","-3459196913434720","0.000621614626013622","0.00242765666034956"
"AT5G59540.2","0","mle","1","21.2340425531915","1.11309489873451","14.0768240468501","-1.25767452008319e-16","0.680159887558214","0.609084307015594","-7951182790392048","0.00591831644375584","0.0110940851605759"
"AT5G59570.1","0","burg","1","23.4823529411765","1.19535163552147","14.4546151920082","-6.99728270840462e-17","0.754919364541013","0.700457001105682","-14291261932276556","0.00178603715693315","0.00466136469039154"
"AT5G59610.4","0","burg","1","22.4269662921348","0.981926684328432","12.8643228188278","-6.01461155186334e-17","0.52125448394967","0.414866591494042","-16626177623893242","0.036347223141534","0.0509416177928371"
"AT5G59613.2","0","burg","1","25.5897435897436","1.07052152694289","13.3885855084425","0","0.684653580621116","0.614576598536919","Inf","0.0055532288163479","0.0105620950710933"
"AT5G59670.2","0","burg","1","23.6213017751479","1.18715523801913","16.2072429244121","3.05311331771918e-16","0.756744282738917","0.702687456680899","3275345183542179","0.0017269658650505","0.00455534517870529"
"AT5G59690.1","0","mle","1","27.5310344827586","1.3530993296572","11.5560763400554","1.26634813746307e-15","0.896282289404838","0.87323390927258","789672263429347","3.72681768991967e-05","0.000572336251875579"
"AT5G59710.2","0","mle","1","22.8114285714286","1.09460788108223","18.3286921275807","9.71445146547012e-17","0.670738163423938","0.597568866407035","10293942005418276","0.00674429072855665","0.0122859133561798"
"AT5G59730.1","0","burg","1","24.95","1.0907009914867","23.9169120044601","-1.08940634291343e-15","0.629971566359429","0.547743025550413","-917931134241120","0.0114040191489851","0.0186900676007906"
"AT5G59732.1","0","burg","1","26.4370860927152","1.13570422817024","25.3057882819038","6.25664274621178e-16","0.683915202059088","0.613674135849996","1598301262454967","0.00561198162680676","0.01064931991014"
"AT5G59750.1","0","default","1","24","0.579551634232766","22.8530900856599","-9.14800100543696e-16","0.184064936861462","0.00274603394178663","-1093134991355671","0.400359542232052","0.437058222068484"
"AT5G59770.1","0","burg","1","21.4623655913979","1.3014286547522","19.2035491312377","4.25592269036555e-16","0.843018807950462","0.80813409860612","2349666741512423","0.000240610348283266","0.00143719941505562"
"AT5G59780.1","1","yule-walker","1","23.2093023255814","1.13817365199432","4.82042248189083","2.15105711021124e-16","0.637600973698833","0.557067856743018","4648877034705028","0.0103834481747713","0.0173217245662226"
"AT5G59780.2","0","burg","1","22.1777777777778","1.22572063982745","6.18204589613598","4.7473373250446e-16","0.708581600196471","0.643821955795686","2106443952749039","0.00389337612229679","0.00809038660884817"
"AT5G59800.1","0","burg","1","22.5536723163842","1.1619417278876","17.6529436896495","-6.38378239159465e-16","0.712056708949779","0.648069310938619","-1566469435607130","0.00368876797277917","0.00777638733095983"
"AT5G59840.1","1","yule-walker","1","23.0751445086705","1.08393579415774","14.9265748095034","5.32839063308842e-16","0.61041907357744","0.523845534372427","1876739279943490","0.0143777056116146","0.0226981280126568"
"AT5G59850.1","0","burg","1","21.8142076502732","1.1667454181995","0.480353100225296","-6.37217239333095e-16","0.863196373878494","0.832795568073715","-1569323518375915","0.00012955054380237","0.00103819992275163"
"AT5G59870.1","0","mle","1","27.3424657534247","1.15113762155237","11.8761528532766","-8.28054891726752e-16","0.718827748987723","0.65634502654055","-1207649408259263","0.00331417975495152","0.00718641940488644"
"AT5G59880.1","0","burg","1","26.972972972973","1.09950395252483","12.0934036611557","1.18521593364326e-15","0.604894044002729","0.517092720447779","843728110308200","0.0153183184630244","0.0239559500252475"
"AT5G59890.1","0","burg","1","24.3414634146341","1.15573997600389","13.1908785305115","-9.30952454159204e-16","0.731954705101311","0.672389084012713","-1074168713485112","0.00267261774319727","0.00616028534628926"
