"CycID","BH.Q","ADJ.P","PER","LAG","AMP"
"AT1G76100.2","0.416197646415246","0.312760078463203","24","2","0.762305689111859"
"AT1G76110.1","0.222989551992916","0.15763918951419","24","0","0.859518708977353"
"AT1G76130.1","0.33011780973387","0.247873827561328","24","22","0.757703196416109"
"AT1G76130.2","1","1","20","8","0.644547268602803"
"AT1G76140.1","0.0951258524510643","0.0572696458633959","24","14","1.14463104957414"
"AT1G76150.1","0.00504426125616406","0.000794327200577201","24","14","1.19864257282101"
"AT1G76160.1","0.33011780973387","0.247873827561328","24","18","1.17751283935527"
"AT1G76180.1","0.00810747064554171","0.00193362193362193","24","12","1.2648853672083"
"AT1G76200.1","0.00810747064554171","0.00193362193362193","28","14","1.3641181838377"
"AT1G76240.1","0.00318510085246977","0.000294161856661857","28","4","0.784531912939816"
"AT1G76300.1","0.0135213877612389","0.00432043650793651","24","20","0.96446351277484"
"AT1G76400.1","0.037129816454249","0.0175406595719096","24","16","1.02514508087492"
"AT1G76405.2","1","1","28","22","1.34649006074139"
"AT1G76450.1","0.037129816454249","0.0175406595719096","24","20","1.00254290654584"
"AT1G76460.1","0.0951258524510643","0.0572696458633959","24","14","1.2864984603967"
"AT1G76490.1","0.00118699151043509","2.63798701298701e-05","24","10","1.01497503283634"
"AT1G76520.1","0.942899444483651","0.805264174482925","20","16","0.334094833371684"
"AT1G76520.2","0.33011780973387","0.247873827561328","28","10","1.19671816490845"
"AT1G76540.1","0.942899444483651","0.805264174482925","28","0","1.02848067482689"
"AT1G76550.1","0.0225061986539284","0.0089799031986532","24","22","1.36868388878064"
"AT1G76570.1","0.037129816454249","0.0175406595719096","24","22","1.34670077756583"
"AT1G76590.1","0.0601338460704449","0.0324589646464646","24","12","1.23481535429889"
"AT1G76620.1","0.00195626018726725","9.57491582491583e-05","24","18","1.32179137942412"
"AT1G76660.1","0.00118699151043509","2.63798701298701e-05","24","14","1.19829780120618"
"AT1G76670.2","0.037129816454249","0.0175406595719096","28","12","1.039217862382"
"AT1G76680.1","0.33011780973387","0.247873827561328","20","16","0.601804630726875"
